,start,end,orig_time,location
0,13750,13899,13849,1
1,26400,26549,26505,2
2,38650,38799,38758,1
3,51350,51499,51458,1
4,63150,63299,63251,1
5,74300,74449,74394,1
6,87400,87499,87464,1
7,99750,99899,99849,1
8,112750,112899,112857,1
9,125100,125249,125200,1
10,136750,136899,136853,1
11,149200,149349,149290,1
12,161600,161749,161702,1
13,184150,184299,184254,1
14,197300,197449,197378,1
15,209800,209949,209884,1
16,222150,222299,222218,1
17,234300,234449,234409,1
18,246450,246599,246539,1
19,259000,259149,259092,1
20,271400,271549,271514,1
