;region_1_times;region_2_times;region_3_times;region_4_times;region_5_times;region_6_times;region_7_times;region_8_times
0;15400;13815;16368;13660;19696;12454;16366;16159
1;27950;26465;30220;25500;32067;25271;28987;29939
2;40710;38725;42980;38520;45910;38383;42316;42382
3;54180;51425;54718;51050;59323;51005;55269;55721
4;70900;63215;67489;63557;72302;63918;67985;68652
5;89570;74335;80026;75560;86144;76390;80187;80930
6;107600;87435;93563;87866;99146;89206;92524;93912
7;125420;99815;105630;100100;112506;101694;104811;106924
8;142040;112820;118490;112584;126338;114400;117459;119376
9;159390;125165;129935;124864;139583;126970;129847;131933
10;176320;136810;143400;137545;154512;139384;143000;145624
11;192700;149255;156395;149707;168122;151859;154767;160741
12;208250;161670;169000;162060;181657;164248;167847;174792
13;223890;184185;181430;174900;193927;176694;180337;188960
14;239950;197345;193495;187070;207132;189906;191984;202900
15;256800;209850;205730;199444;219590;202557;205035;216556
16;273730;222185;217900;211869;233523;215321;217290;232367
17;288380;234375;229900;223694;246585;227612;229622;246821
18;303840;246505;242081;235605;258924;240557;241613;260835
19;319500;259060;254985;248365;271794;262865;254143;274517
